Date,Vitesse du vent à 100m (m/s),Rayonnement solaire global (W/m2)
2017-01-01 01:00:00,4.53,0.0
2017-01-01 04:00:00,5.3,0.0
2017-01-01 07:00:00,4.92,0.0
2017-01-01 10:00:00,4.71,7.09
2017-01-01 13:00:00,4.3,84.24
2017-01-01 16:00:00,4.1,85.55
2017-01-01 19:00:00,3.82,4.61
2017-01-01 22:00:00,4.27,0.0
2017-01-02 01:00:00,4.49,0.0
2017-01-02 04:00:00,4.96,0.0
2017-01-02 07:00:00,4.91,0.0
2017-01-02 10:00:00,4.77,3.84
2017-01-02 13:00:00,4.38,73.65
2017-01-02 16:00:00,4.22,173.99
2017-01-02 19:00:00,3.93,12.26
2017-01-02 22:00:00,4.19,0.0
2017-01-03 01:00:00,4.75,0.0
2017-01-03 04:00:00,4.98,0.0
2017-01-03 07:00:00,5.39,0.0
2017-01-03 10:00:00,4.92,13.86
2017-01-03 13:00:00,5.12,165.47
2017-01-03 16:00:00,4.57,160.55
2017-01-03 19:00:00,4.57,10.85
2017-01-03 22:00:00,4.61,0.0
2017-01-04 01:00:00,4.96,0.0
2017-01-04 04:00:00,5.5,0.0
2017-01-04 07:00:00,5.21,0.0
2017-01-04 10:00:00,5.71,4.7
2017-01-04 13:00:00,5.5600000000000005,39.89
2017-01-04 16:00:00,5.12,35.24
2017-01-04 19:00:00,4.77,5.94
2017-01-04 22:00:00,4.53,0.0
2017-01-05 01:00:00,4.35,0.0
2017-01-05 04:00:00,4.35,0.0
2017-01-05 07:00:00,4.99,0.0
2017-01-05 10:00:00,4.7,18.5
2017-01-05 13:00:00,5.02,221.44
2017-01-05 16:00:00,4.85,213.83
2017-01-05 19:00:00,4.53,14.16
2017-01-05 22:00:00,4.46,0.0
2017-01-06 01:00:00,4.3,0.0
2017-01-06 04:00:00,4.64,0.0
2017-01-06 07:00:00,4.3,0.0
2017-01-06 10:00:00,4.29,18.9
2017-01-06 13:00:00,4.28,232.03
2017-01-06 16:00:00,4.12,217.94
2017-01-06 19:00:00,4.06,14.76
2017-01-06 22:00:00,4.13,0.0
2017-01-07 01:00:00,4.02,0.0
2017-01-07 04:00:00,4.63,0.0
2017-01-07 07:00:00,4.8100000000000005,0.0
2017-01-07 10:00:00,4.57,3.63
2017-01-07 13:00:00,4.74,26.9
2017-01-07 16:00:00,4.66,26.39
2017-01-07 19:00:00,4.55,1.9
2017-01-07 22:00:00,4.74,0.0
2017-01-08 01:00:00,4.8,0.0
2017-01-08 04:00:00,6.25,0.0
